Lg,Fh,Fw,gap,eot,C_Doping,SD_Doping,SDC_Doping,WK,Vg,Vd,VT,gmax,ioff,isat,sslop,rout
8,3,8,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.2719938913221379,3.98105743203182e-05,1.63882343242061e-11,1.07998510700723e-05,0.06567643278417615,3413975.740053719
8,3,10,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.2688829211499307,4.935679584530822e-05,2.3525055994397e-11,1.3355701596419e-05,0.06607596355690411,2670673.596691018
8,3,12,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.2569976643761271,5.159164674272764e-05,2.6795815101936e-11,1.4550662593848e-05,0.06606757792688389,2067232.429348501
8,4,8,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.2594345434656831,3.884153772188003e-05,1.89725798642046e-11,1.13969708841557e-05,0.06722470880622265,1926781.412094869
8,4,10,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.2503552094668151,4.684235476106414e-05,2.43221729558448e-11,1.38769574907461e-05,0.06776568839324611,1516372.025881131
8,4,12,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.2417994343251312,4.771617571554005e-05,3.55054065316622e-11,1.50490202579981e-05,0.06825794377292298,1000615.639645093
8,5,8,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.2388603477301391,4.765698579574712e-05,2.71286946058721e-10,1.44135179637084e-05,0.07260916615945008,367089.6884704138
8,5,10,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.2340752325866046,5.687283999787424e-05,4.13064595732213e-10,1.74221458941243e-05,0.07397809981687518,251569.2646652375
8,5,12,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.2178702877876261,5.728973687138428e-05,4.10081839005852e-10,1.87327515836687e-05,0.07423437596053967,223783.3414648998
10,3,8,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.2767028651473266,4.16594189153929e-05,8.271719199127429e-12,8.76345796533744e-06,0.06324533235068111,6071026.069465819
10,3,10,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.2739821670521982,4.827722829376203e-05,1.12483030825806e-11,9.32770533953926e-06,0.06350599388970761,4992697.728521919
10,3,12,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.2649930567846494,5.742682777620482e-05,1.25612882288737e-11,1.16706856267116e-05,0.0635070201731275,3900034.642470358
10,4,8,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.2658286429099034,4.478704652723842e-05,8.18838954889158e-12,1.04140258094433e-05,0.06383259581182951,3941189.793704647
10,4,10,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.2633744466570157,5.121518860514189e-05,9.898746202437171e-12,1.10285555855877e-05,0.06421355181673848,3310649.328903619
10,4,12,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.2527013649521408,6.044605304698256e-05,1.44474754803579e-11,1.37511903503286e-05,0.06449962135328313,2233919.098645653
10,5,8,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.2485088480524104,5.345617332289785e-05,7.13603025015743e-11,1.35409091760548e-05,0.06665113441289544,1096291.116956929
10,5,10,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.2438158399988225,6.05610941205893e-05,1.02344481228056e-10,1.43094027985891e-05,0.06748933310826734,805588.523022122
10,5,12,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.2354338557780682,7.145531588250409e-05,9.47930547342787e-11,1.78269986096067e-05,0.06754867562783851,719907.6426856973
12,3,8,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.279836123970563,3.734142360662956e-05,3.62952476063648e-12,8.06520535639121e-06,0.06184317549437461,9497550.868123351
12,3,10,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.2772591942520914,4.37046361737357e-05,4.61611174616329e-12,8.8536537251383e-06,0.06202370623211565,8228920.736060409
12,3,12,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.2700408686054511,5.365461781640131e-05,6.11022900415106e-12,1.13387363883029e-05,0.06206505171781614,5995063.876978551
12,4,8,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.2694410153982993,3.828737840208514e-05,5.05903364683678e-12,9.264128051529769e-06,0.06240396742518347,5653848.920039936
12,4,10,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.2671789047956494,4.374398785902646e-05,6.0298532632484e-12,1.00996358837918e-05,0.06278604425149244,4809875.54314578
12,4,12,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.2579638657243395,5.283098094766319e-05,8.72905205107487e-12,1.28217414475444e-05,0.06296748507592749,3333530.528687477
12,5,8,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.2550073223642715,4.890965987063935e-05,2.29796870735783e-11,1.20549696837358e-05,0.0641070259774042,2363176.118633485
12,5,10,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.2501597507065108,5.525092440687371e-05,3.45926082886803e-11,1.3032494496505e-05,0.06494966590015908,1760765.282581452
12,5,12,5,0.8,1e17,1e17,1e20,4.466,0.65,0.65,0.2407540915261359,6.588041989672271e-05,3.26694911342523e-11,1.65135371085961e-05,0.0647275740171306,1460441.893070064
