x,y
0,3.37E-19
0,4.88E-19
0,1.03E-18
0,1.47E-12
0,2.46E-12
0,3.13E-12
0,3.56E-12
0,3.88E-12
0,4.26E-12
0,4.57E-12
0,5.08E-12
0,6.02E-12
0,7.90E-12
0,1.18E-11
0,2.05E-11
0,2.89E-11
0,4.40E-11
0,7.35E-11
0,1.36E-10
0,2.71E-10
0,4.10E-10
0.00065,4.11E-10
0.00149717,4.12E-10
0.00262107,4.13E-10
0.00411213,4.15E-10
0.00609025,4.18E-10
0.00871457,4.22E-10
0.0121962,4.27E-10
0.0168151,4.34E-10
0.0229428,4.43E-10
0.0310723,4.55E-10
0.0418574,4.72E-10
0.0559141,4.95E-10
0.0742345,5.27E-10
0.0981122,5.71E-10
0.129233,6.35E-10
0.161733,7.08E-10
0.194233,7.89E-10
0.226733,8.80E-10
0.259233,9.81E-10
0.291733,1.09E-09
0.324233,1.22E-09
0.356733,1.36E-09
0.389233,1.52E-09
0.421733,1.69E-09
0.437983,1.79E-09
0.459162,1.92E-09
0.486765,2.11E-09
0.503015,2.23E-09
0.523815,2.40E-09
0.550925,2.65E-09
0.567175,2.82E-09
0.588354,3.06E-09
0.615957,3.42E-09
0.648457,3.96E-09
0.65,3.98E-09
0,3.14E-19
0,5.58E-19
0,6.69E-19
0,4.11E-12
0,6.82E-12
0,8.56E-12
0,9.65E-12
0,1.05E-11
0,1.16E-11
0,1.36E-11
0,1.83E-11
0,2.93E-11
0,5.46E-11
0,1.14E-10
0,2.60E-10
0,6.34E-10
0,1.39E-09
0.00065,1.39E-09
0.00151233,1.39E-09
0.00265636,1.40E-09
0.00417411,1.41E-09
0.00618765,1.42E-09
0.00885895,1.43E-09
0.0124029,1.45E-09
0.0171045,1.48E-09
0.0233419,1.51E-09
0.031617,1.56E-09
0.0425952,1.63E-09
0.0571596,1.72E-09
0.0761419,1.85E-09
0.100882,2.02E-09
0.133127,2.28E-09
0.165627,2.58E-09
0.198127,2.90E-09
0.230627,3.26E-09
0.263127,3.65E-09
0.279377,3.84E-09
0.299419,4.12E-09
0.321331,4.50E-09
0.348356,5.03E-09
0.380856,5.75E-09
0.413356,6.57E-09
0.445856,7.51E-09
0.478356,8.59E-09
0.510856,9.83E-09
0.543356,1.13E-08
0.575856,1.29E-08
0.608356,1.49E-08
0.640856,1.74E-08
0.65,1.82E-08
0,2.67E-19
0,2.71E-19
